F S     PID    PPID CLS PRI  NI STAT CMD                         RTPRIO
1 I     276       2  TS  39 -20 I<    \_ [kworker/1:1H-kblockd]       -
1 I     277       2  TS  39 -20 I<    \_ [kworker/5:1H-kblockd]       -
1 I     298       2  TS  39 -20 I<    \_ [kworker/9:1H-kblockd]       -
1 S     300       2  TS  19   0 S     \_ [jbd2/nvme0n1p8-]            -
1 I     301       2  TS  39 -20 I<    \_ [ext4-rsv-conver]            -
1 I     315       2  TS  39 -20 I<    \_ [kworker/4:1H-kblockd]       -
1 I     364       2  TS  39 -20 I<    \_ [kworker/0:1H-kblockd]       -
1 I     368       2  TS  39 -20 I<    \_ [kworker/3:1H-kblockd]       -
1 I     377       2  TS  39 -20 I<    \_ [kworker/11:1H-kblockd]      -
1 I     424       2  TS  39 -20 I<    \_ [kworker/7:1H-kblockd]       -
1 I     519       2  TS  39 -20 I<    \_ [cfg80211]                   -
1 S     689       2  FF  90   - S     \_ [irq/78-iwlwifi:]           50
1 S     690       2  FF  90   - S     \_ [irq/79-iwlwifi:]           50
1 S     691       2  FF  90   - S     \_ [irq/80-iwlwifi:]           50
1 S     692       2  FF  90   - S     \_ [irq/81-iwlwifi:]           50
1 S     693       2  FF  90   - S     \_ [irq/82-iwlwifi:]           50
1 S     694       2  FF  90   - S     \_ [irq/83-iwlwifi:]           50
1 S     696       2  FF  90   - S     \_ [irq/84-iwlwifi:]           50
1 S     697       2  FF  90   - S     \_ [irq/85-iwlwifi:]           50
1 S     698       2  FF  90   - S     \_ [irq/86-iwlwifi:]           50
1 S     699       2  FF  90   - S     \_ [irq/87-iwlwifi:]           50
1 S     700       2  FF  90   - S     \_ [irq/88-iwlwifi:]           50
1 S     701       2  FF  90   - S     \_ [irq/89-iwlwifi:]           50
1 S     702       2  FF  90   - S     \_ [irq/90-iwlwifi:]           50
1 S     703       2  FF  90   - S     \_ [irq/91-iwlwifi:]           50
1 I     774       2  TS  39 -20 I<    \_ [cryptd]                     -
1 I     804       2  TS  39 -20 I<    \_ [amd_iommu_v2]               -
1 I     859       2  TS  39 -20 I<    \_ [kworker/u33:3-rb_alloc      -
1 S     865       2  FF  41   - S     \_ [gfx]                        1
1 S     866       2  FF  41   - S     \_ [comp_1.0.0]                 1
1 S     867       2  FF  41   - S     \_ [comp_1.1.0]                 1
1 S     868       2  FF  41   - S     \_ [comp_1.2.0]                 1
1 S     869       2  FF  41   - S     \_ [comp_1.3.0]                 1
1 S     870       2  FF  41   - S     \_ [comp_1.0.1]                 1
1 S     871       2  FF  41   - S     \_ [comp_1.1.1]                 1
1 S     872       2  FF  41   - S     \_ [comp_1.2.1]                 1
1 S     873       2  FF  41   - S     \_ [comp_1.3.1]                 1
1 S     874       2  FF  41   - S     \_ [sdma0]                      1
1 S     875       2  FF  41   - S     \_ [vcn_dec]                    1
1 S     876       2  FF  41   - S     \_ [vcn_enc0]                   1
1 S     877       2  FF  41   - S     \_ [vcn_enc1]                   1
1 S     878       2  FF  41   - S     \_ [jpeg_dec]                   1
1 I    1032       2  TS  39 -20 I<    \_ [amdgpu_dm_hpd_r]            -
1 I    1033       2  TS  39 -20 I<    \_ [amdgpu_dm_hpd_r]            -
1 I    1034       2  TS  39 -20 I<    \_ [dm_vblank_contr]            -
1 S    1103       2  FF  90   - S     \_ [card0-crtc0]               50
1 S    1104       2  FF  90   - S     \_ [card0-crtc1]               50
1 S    1105       2  FF  90   - S     \_ [card0-crtc2]               50
1 S    1107       2  FF  90   - S     \_ [card0-crtc3]               50
1 I    1943       2  TS  39 -20 I<    \_ [iprt-VBoxWQueue]            -
1 S    2024       2  TS  19   0 S     \_ [iprt-VBoxTscThr]            -
5 S    2248       2  TS  29 -10 S<    \_ [krfcommd]                   -
1 I    4295       2  TS  39 -20 I<    \_ [dio/nvme0n1p8]              -
1 I    6470       2  TS  19   0 I     \_ [kworker/11:2-events]        -
1 I    6862       2  TS  19   0 I     \_ [kworker/6:1-events]         -
1 I    6863       2  TS  19   0 I     \_ [kworker/7:1-events]         -
1 I    7282       2  TS  19   0 I     \_ [kworker/2:1-events]         -
1 I    7451       2  TS  19   0 I     \_ [kworker/10:2-cgroup_de      -
1 I    7459       2  TS  19   0 I     \_ [kworker/3:0-events]         -
1 I    7529       2  TS  19   0 I     \_ [kworker/7:0-events]         -
1 I    7566       2  TS  19   0 I     \_ [kworker/1:2-events]         -
1 I    7594       2  TS  19   0 I     \_ [kworker/1:0-pm]             -
1 I    7624       2  TS  19   0 I     \_ [kworker/5:1-events]         -
1 I    7668       2  TS  19   0 I     \_ [kworker/9:1-events]         -
1 I    7739       2  TS  19   0 I     \_ [kworker/4:1-events]         -
1 I    7748       2  TS  19   0 I     \_ [kworker/8:2-events]         -
1 I    7778       2  TS  19   0 I     \_ [kworker/0:2-events]         -
1 I    8171       2  TS  19   0 I     \_ [kworker/8:0-events]         -
1 I    8179       2  TS  19   0 I     \_ [kworker/10:1-events]        -
1 I    8199       2  TS  19   0 I     \_ [kworker/6:0-events]         -
1 I    8243       2  TS  19   0 I     \_ [kworker/11:0-events]        -
1 I    8257       2  TS  19   0 I     \_ [kworker/u32:7-events_u      -
1 I    8258       2  TS  19   0 I     \_ [kworker/u32:8-ext4-rsv      -
1 I    8260       2  TS  19   0 I     \_ [kworker/u32:10-events_      -
1 I    8261       2  TS  19   0 I     \_ [kworker/u32:11-events_      -
1 I    8342       2  TS  19   0 I     \_ [kworker/2:0-events]         -
1 I    8396       2  TS  19   0 I     \_ [kworker/4:2-events]         -
1 I    8447       2  TS  19   0 I     \_ [kworker/5:0-events]         -
1 I    8622       2  TS  19   0 I     \_ [kworker/0:0-events]         -
1 I    8992       2  TS  19   0 I     \_ [kworker/9:0-events]         -
1 I    9039       2  TS  19   0 I     \_ [kworker/3:1-events]         -
1 I    9201       2  TS  19   0 I     \_ [kworker/10:0-events]        -
1 I    9284       2  TS  19   0 I     \_ [kworker/4:0-events]         -
1 I    9420       2  TS  19   0 I     \_ [kworker/5:2-events]         -
1 I    9423       2  TS  19   0 I     \_ [kworker/8:1-events]         -
1 I    9424       2  TS  19   0 I     \_ [kworker/6:2-events]         -
1 I    9427       2  TS  19   0 I     \_ [kworker/7:2-events]         -
1 I    9428       2  TS  19   0 I     \_ [kworker/11:1-events]        -
1 I    9453       2  TS  19   0 I     \_ [kworker/9:2-events]         -
4 S       1       0  TS  19   0 Ss   /sbin/init splash                -
4 S     347       1  TS  20  -1 S<s  /lib/systemd/systemd-journa      -
4 S     425       1  TS  19   0 Ss   /lib/systemd/systemd-udevd       -
4 S    1087       1  TS  19   0 Ssl  /usr/lib/accountsservice/ac      -
4 S    1088       1  TS  19   0 Ss   /usr/sbin/acpid                  -
4 S    1091       1  TS  19   0 Ss   /usr/lib/bluetooth/bluetoot      -
4 S    1092       1  TS  19   0 Ss   /usr/sbin/cron -f                -
4 S    1094       1  TS  19   0 Ss   /usr/sbin/cupsd -l               -
4 S    1097       1  TS  19   0 Ssl  /usr/sbin/NetworkManager --      -
4 S    1102       1  TS  19   0 Ssl  /usr/sbin/irqbalance --fore      -
4 S    1111       1  TS  19   0 Ss   /usr/bin/python3 /usr/bin/n      -
4 S    1117       1  TS  19   0 Ssl  /usr/lib/policykit-1/polkit      -
4 S    1126       1  TS  19   0 Ssl  /usr/lib/snapd/snapd             -
4 S    1127       1  TS  19   0 Ssl  /usr/libexec/switcheroo-con      -
4 S    1128       1  TS  19   0 Ss   /lib/systemd/systemd-logind      -
4 S    1130       1  TS  19   0 Ssl  /usr/lib/udisks2/udisksd         -
4 S    1132       1  TS  19   0 Ss   /sbin/wpa_supplicant -u -s       -
4 S    1217       1  TS  19   0 Ssl  /usr/sbin/ModemManager           -
4 S    1231       1  TS  19   0 Ssl  /usr/sbin/cups-browsed           -
1 S    1250       1  TS  19   0 S    /usr/bin/nfcapd -D -P /run/      -
4 S    1268       1  TS  19   0 Ss   sshd: /usr/sbin/sshd -D [li      -
4 S    1289       1  TS  19   0 Ssl  /usr/sbin/gdm3                   -
4 S    1838    1289  TS  19   0 Sl    \_ gdm-session-worker [pam      -
1 S    1305       1  TS  19   0 Ss   /usr/sbin/apache2 -k start       -
4 S    1349       1  TS  19   0 Ssl  /usr/bin/python3 /usr/share      -
4 S    1484       1  TS  19   0 Ssl  /usr/lib/upower/upowerd          -
4 S    5793       1  TS  19   0 Ss   /bin/sh /snap/cups/872/scri      -
1 S    5930    5793  TS  19   0 S     \_ /bin/sh /snap/cups/872/      -
0 S    7623    5930  TS  19   0 S         \_ sleep 3600               -
4 S    5795       1  TS  19   0 Ss   /bin/sh /snap/cups/872/scri      -
4 S    5926    5795  TS  19   0 S     \_ cupsd -f -s /var/snap/c      -
0 S    5927    5795  TS  19   0 Sl    \_ cups-proxyd /var/snap/c      -
